Track Name,Artist Name(s),Index,Starting energy,Ending energy,BPM,Genres,Acousticness,Difficulty,Familiarity,Transition type,Notes,Set,DJ
This City Remix (feat. Anne-Marie),"Sam Fischer,Anne-Marie","This City Remix (feat. Anne-Marie).Sam Fischer,Anne-Marie",2,2,78,Singer songwriter,1.0,3,4,None,,2024-03-27,Connie Wang
The Other Side,Axel Mansoor,The Other Side.Axel Mansoor,2,2,87,Pop,0.4,2,3,None,,2024-03-27,Connie Wang
greedy,Tate McRae,greedy.Tate McRae,3,3,112,Baddie pop,0.3,3,4,None,Explicit,2024-03-27,Connie Wang
Ask For It,Future Animals,Ask For It.Future Animals,3,3,92,Late night,0.3,3,5,None,,2024-03-27,Connie Wang
Lochloosa,JJ Grey & Mofro,Lochloosa.JJ Grey & Mofro,2,2,69,Blues ,0.8,3,5,None,,2024-03-27,Connie Wang
Trade it for the Night - Single Version,HAEVN,Trade it for the Night - Single Version.HAEVN,3,3,100,Late night,0.1,3,3,None,,2024-03-27,Connie Wang
Glass of Whisky,Sara Diamond,Glass of Whisky.Sara Diamond,2,2,84,R&B,0.5,2,4,None,,2024-03-27,Connie Wang
Let Me Love You - Acoustic Version,Mario,Let Me Love You - Acoustic Version.Mario,1,2,93,R&B,0.8,3,4,Rising,Fade out at 4:18,2024-03-27,Connie Wang
Young Love,Falcon,Young Love.Falcon,3,3,112,Pop,0.2,2,3,None,,2024-03-27,Connie Wang
Sunday Morning,Maroon 5,Sunday Morning.Maroon 5,2,2,88,Pop,0.7,2,5,None,,2024-03-27,Connie Wang
Blinding Lights,Loi,Blinding Lights.Loi,1,1,86,"Late night, Covers",0.9,3,4,None,,2024-03-27,Connie Wang
Let the Rhythm Just,"The Polish Ambassador,Mr. Lif,Ayla Nereo","Let the Rhythm Just.The Polish Ambassador,Mr. Lif,Ayla Nereo",3,3,98,"Throwback, Late night, Rap",0.3,1,5,None,,2024-03-02,Connie Wang
Semblant,Laurence Nerbonne,Semblant.Laurence Nerbonne,3,3,98,"Pop, Non-english",0.3,1,2,None,,2024-03-02,Connie Wang
Shivers,OSIS,Shivers.OSIS,2,2,76,Covers,0.9,2,4,None,Ends abruptly. Country feel,2024-03-02,Connie Wang
Son of a Preacher Man,Dusty Springfield,Son of a Preacher Man.Dusty Springfield,2,3,91,Oldies,0.8,1,5,Rising,,2024-03-02,Connie Wang
You're Sexy I'm Sexy,Eric Nam,You're Sexy I'm Sexy.Eric Nam,3,4,110,Pop,0.5,2,2,Rising,Clean but inappropriate,2024-03-02,Connie Wang
Hey Cowboy,Devon Cole,Hey Cowboy.Devon Cole,3,3,91,Country,0.2,1,4,None,,2024-03-02,Connie Wang
Save Us,Lennon Stella,Save Us.Lennon Stella,2,2,90,Pop,0.3,2,4,None,,2024-03-02,Connie Wang
He's A Tramp,Melody Gardot,He's A Tramp.Melody Gardot,3,3,105,"Jazz blues, Covers",0.8,1,3,None,,2024-03-02,Connie Wang
Wow.,Post Malone,Wow..Post Malone,2,3,100,Angry Cali Late Nite,0.5,2,5,Rising,"Clean version, start at 0:08, stop early",2024-03-02,Connie Wang
Higher (Escalators),"Bakermat,Nic Hanson","Higher (Escalators).Bakermat,Nic Hanson",4,4,110,Funk pop,0.4,2,4,None,,2024-03-02,Connie Wang
Come On Over,Pretty Sister,Come On Over.Pretty Sister,3,3,96,"Covers, Funk pop",0.6,1,3,None,,2024-03-02,Connie Wang
Bliss - Acoustic Version,Billy Raffoul,Bliss - Acoustic Version.Billy Raffoul,2,2,83,Singer songwriter,1.0,1,3,None,,2024-03-02,Connie Wang
Candy,Kah-Lo,Candy.Kah-Lo,2,3,113,Pop,0.3,2,5,Rising,,2024-03-02,Connie Wang
Let's Rock,Chrisette Michele,Let's Rock.Chrisette Michele,3,2,92,"Oldies, Hip hop",0.5,1,3,Falling,Fade out early,2024-03-02,Connie Wang
Lean On Me,"Cheat Codes,Tinashe","Lean On Me.Cheat Codes,Tinashe",3,4,102,Electropop,0.1,2,4,Rising,A couple tricky stops,2024-03-02,Connie Wang
Lil Boo Thang,Paul Russell,Lil Boo Thang.Paul Russell,4,4,114,Funk pop,0.4,1,4,None,Super short,2024-03-02,Connie Wang
Love U Like That,Lauv,Love U Like That.Lauv,3,3,95,Pop,0.2,2,4,None,,2024-03-02,Connie Wang
9 to 5 (FROM THE STILL WORKING 9 TO 5 DOCUMENTARY),"Kelly Clarkson,Dolly Parton","9 to 5 (FROM THE STILL WORKING 9 TO 5 DOCUMENTARY).Kelly Clarkson,Dolly Parton",2,3,94,Country,0.7,2,2,Rising,End a little early,2024-03-02,Connie Wang
Lights Down Low,MAX,Lights Down Low.MAX,2,2,81,Singer songwriter,0.9,2,5,None,End at 3:36,2024-03-02,Connie Wang
Memo,Olly Alexander (Years & Years),Memo.Olly Alexander (Years & Years),1,1,84,Late night,0.2,2,4,None,,2024-03-02,Connie Wang
Stuck In My Head (feat. AJ Mitchell),"Captain Cuts,AJ Mitchell","Stuck In My Head (feat. AJ Mitchell).Captain Cuts,AJ Mitchell",2,3,102,Pop,0.2,1,4,Rising,,2024-03-02,Connie Wang
How Deep Is Your Love (feat. Yebba) - Live,"PJ Morton,Yebba","How Deep Is Your Love (feat. Yebba) - Live.PJ Morton,Yebba",3,3,93,"Oldies, Covers",0.9,1,4,None,Fade out early,2024-03-02,Connie Wang
My Game,Deluxe,My Game.Deluxe,4,3,115,Funk pop,0.5,2,5,Falling,,2024-03-02,Connie Wang
Ooh Wee,Your Smith,Ooh Wee.Your Smith,3,3,96,Funk pop,0.4,2,2,None,Tricky start,2024-03-02,Connie Wang
Thoughts,Sasha Alex Sloan,Thoughts.Sasha Alex Sloan,2,2,90,Singer songwriter,0.5,2,2,None,,2024-03-02,Connie Wang
How Will I Know,Sam Smith,How Will I Know.Sam Smith,2,1,85,Drama pop,0.9,3,4,Falling,,2024-03-02,Connie Wang
Little Lover (TEEMID Remix),Nick Broadhurst,Little Lover (TEEMID Remix).Nick Broadhurst,2,2,99,Late night,0.3,2,2,None,,2024-03-02,Connie Wang
LIKE PELÉ,"Killa,Lucca DL","LIKE PELÉ.Killa,Lucca DL",3,3,120,Angry Cali Late Nite,0.3,3,2,None,,2024-03-02,Connie Wang
Adore You,Maisie Peters,Adore You.Maisie Peters,3,3,91,Pop,0.4,1,3,None,,2024-03-02,Connie Wang
Got to Be Real - Single Version,Cheryl Lynn,Got to Be Real - Single Version.Cheryl Lynn,4,5,115,Oldies,0.7,2,5,Rising,,2024-03-02,Connie Wang
The Devil,BANKS,The Devil.BANKS,3,3,94,Baddie pop,0.2,2,3,None,,2024-03-02,Connie Wang
Find Ich Dich,Emilio,Find Ich Dich.Emilio,3,3,75,"Pop, Non-english",0.3,3,2,None,Half/double time,2024-03-02,Connie Wang
Jurass Finish First,Jurassic 5,Jurass Finish First.Jurassic 5,3,3,101,"Oldies, Rap",0.7,1,3,None,"Fade out at 3:28, Explicit",2024-03-02,Connie Wang
erase me (feat. Jacob Collier),"Lizzy McAlpine,Jacob Collier","erase me (feat. Jacob Collier).Lizzy McAlpine,Jacob Collier",2,3,93,Singer songwriter,0.6,3,2,Rising,,2024-03-02,Connie Wang
Move With Me,Locals Only Sound,Move With Me.Locals Only Sound,3,3,124,Late night,0.5,3,2,None,,2024-03-02,Connie Wang
"Jumpin', Jumpin'",Destiny's Child,"Jumpin', Jumpin'.Destiny's Child",4,4,89,"Throwback, R&B",0.4,3,5,None,End at 3:43,2024-03-02,Connie Wang
tere bina - Acoustic,"Zaeden,Jonita Gandhi","tere bina - Acoustic.Zaeden,Jonita Gandhi",3,3,108,"Singer songwriter, Non-english",0.9,2,2,None,,2024-03-02,Connie Wang
Fair Play - Acoustic Version,"Malaki,Lucy McWilliams","Fair Play - Acoustic Version.Malaki,Lucy McWilliams",2,2,88,"Late night, Rap",0.9,1,3,None,End at 4:13,2024-03-02,Connie Wang
Move,Jany Green,Move.Jany Green,3,3,104,Funk pop,0.5,2,3,None,,2024-03-02,Connie Wang
Tea,Noah Davis,Tea.Noah Davis,3,3,88,Baddie pop,0.3,1,3,None,Explicit,2024-03-02,Connie Wang
Sober - Acoustic,Joy Oladokun,Sober - Acoustic.Joy Oladokun,2,3,82,Singer songwriter,0.9,2,4,Rising,,2024-03-02,Connie Wang
The Wire,Patrick Droney,The Wire.Patrick Droney,2,3,95,Pop,0.6,2,3,Rising,,2024-03-02,Connie Wang
Us,MOVEMENT,Us.MOVEMENT,2,2,90,Late night,0.3,2,5,None,,2024-03-02,Connie Wang
Things Are Changin' - Solo Acoustic; Live,Gary Clark Jr.,Things Are Changin' - Solo Acoustic; Live.Gary Clark Jr.,2,1,86,"Singer songwriter, Soul",0.9,2,5,Falling,End at 4:28,2024-03-02,Connie Wang
Body Say,Demi Lovato,Body Say.Demi Lovato,3,3,87,Pop,0.4,1,3,None,Clean but inappropriate,2024-02-16,Connie Wang
"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 1999 Remaster",Eric Clapton,"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 1999 Remaster.Eric Clapton",3,3,94,Oldies,1.0,1,5,None,End at 4:24,2024-02-16,Connie Wang
Do Me Like A Drug,Emmanuel Franco,Do Me Like A Drug.Emmanuel Franco,3,3,107,Funk pop,0.4,1,5,None,,2024-02-16,Connie Wang
Working For The Weekend (feat. bbno$),"MAX,bbno$","Working For The Weekend (feat. bbno$).MAX,bbno$",3,4,101,"Pop, Rap",0.3,1,3,Rising,,2024-02-16,Connie Wang
Selfish,Jordan Davis,Selfish.Jordan Davis,3,2,90,Country,0.8,1,3,Falling,,2024-02-16,Connie Wang
Glow,Susan H,Glow.Susan H,2,3,96,Pop,0.3,2,3,Rising,,2024-02-16,Connie Wang
Mrs. Bubblegum,Tyga,Mrs. Bubblegum.Tyga,3,3,88,Angry Cali Late Nite,0.4,2,3,None,,2024-02-16,Connie Wang
Naughty Girl,Beyoncé,Naughty Girl.Beyoncé,4,3,100,"Throwback, Baddie pop",0.3,1,5,Falling,,2024-02-16,Connie Wang
Ife's Blues,Brother Yusef,Ife's Blues.Brother Yusef,3,3,126,Blues,1.0,3,3,None,End at 2:33,2024-02-16,Connie Wang
Light On,Maggie Rogers,Light On.Maggie Rogers,3,3,102,Singer songwriter,0.5,2,3,None,,2024-02-16,Connie Wang
Rich Spirit,Kendrick Lamar,Rich Spirit.Kendrick Lamar,2,3,96,Rap,0.5,1,3,Rising,,2024-02-16,Connie Wang
Sweatshirt,"Patrick Hizon,EJEAN","Sweatshirt.Patrick Hizon,EJEAN",2,2,83,Singer songwriter,0.8,1,3,None,,2024-02-16,Connie Wang
To Die For,Sam Smith,To Die For.Sam Smith,2,2,86,Drama pop,0.5,3,5,None,,2024-02-16,Connie Wang
headlock,"Marshall,Lindsey Ray,Tep No","headlock.Marshall,Lindsey Ray,Tep No",3,3,96,Pop,0.3,2,2,None,,2024-02-16,Connie Wang
Nuttin' But Love,Heavy D & The Boyz,Nuttin' But Love.Heavy D & The Boyz,3,3,101,"Hip hop, Oldies",0.7,1,3,None,,2024-02-16,Connie Wang
Naked,"Jonas Blue,MAX","Naked.Jonas Blue,MAX",3,4,115,Pop,0.4,3,3,Rising,,2024-02-16,Connie Wang
Next Big Thing,West Rose,Next Big Thing.West Rose,4,4,104,Baddie pop,0.4,3,2,None,,2024-02-16,Connie Wang
Tainted Love,"Trinix,Queen D","Tainted Love.Trinix,Queen D",3,3,90,"Covers, Late night",0.1,2,4,None,,2024-02-16,Connie Wang
Shine On,Eric Bibb,Shine On.Eric Bibb,3,3,93,Country,0.8,2,4,None,,2024-02-16,Connie Wang
Forgive Me,"Sofi Tukker,Mahmut Orhan","Forgive Me.Sofi Tukker,Mahmut Orhan",2,3,100,Electropop,0.2,4,4,Rising,,2024-02-16,Connie Wang
just the two of us,Avenue Beat,just the two of us.Avenue Beat,3,3,88,"Singer songwriter, Covers",0.6,1,3,None,,2024-02-16,Connie Wang
Like That,"GRACEY,Alexander 23","Like That.GRACEY,Alexander 23",3,4,114,Pop,0.4,2,2,Rising,,2024-02-16,Connie Wang
Pony,Deluxe,Pony.Deluxe,3,4,103,Pop,0.2,1,4,Rising,Electroswing,2024-02-16,Connie Wang
edamame,"bbno$,Rich Brian","edamame.bbno$,Rich Brian",4,4,106,Rap,0.2,2,5,None,Clean version,2024-02-16,Connie Wang
贴贴,"胥睿,杨淳","贴贴.胥睿,杨淳",3,3,92,"Singer songwriter, Non-english",0.7,1,1,None,,2024-02-16,Connie Wang
Quick Musical Doodles,Two Feet,Quick Musical Doodles.Two Feet,2,2,85,Baddie pop,0.1,4,5,None,,2024-02-16,Connie Wang
Too Well,Reneé Rapp,Too Well.Reneé Rapp,2,3,121,Pop,0.3,3,3,Rising,,2024-02-16,Connie Wang
So Pretty,"Reyanna Maria,Tyga","So Pretty.Reyanna Maria,Tyga",4,4,94,"Baddie pop, Rap, Angry Cali Late Nite",0.1,2,2,None,Clean version (but it's still pretty inappropriate),2024-02-16,Connie Wang
Be Honest (feat. Burna Boy),"Jorja Smith,Burna Boy","Be Honest (feat. Burna Boy).Jorja Smith,Burna Boy",3,3,98,Afropop,0.5,2,2,None,,2024-02-16,Connie Wang
Streetlights on Mars,Jackson Penn,Streetlights on Mars.Jackson Penn,3,3,91,Pop,0.4,2,4,None,,2024-02-16,Connie Wang
Breathin',Asylum Street Spankers,Breathin'.Asylum Street Spankers,2,3,106,Jazz blues,0.9,2,3,Rising,"Swung, end at 2:39 (very important)",2024-02-16,Connie Wang
do u really? (with Ruth B.),"Lyn Lapid,Ruth B.","do u really? (with Ruth B.).Lyn Lapid,Ruth B.",2,2,87,Singer songwriter,0.6,2,4,None,,2024-02-16,Connie Wang
California Rain (Intimate),Devin Kennedy,California Rain (Intimate).Devin Kennedy,1,1,74,Singer songwriter,1.0,3,2,None,,2024-02-16,Connie Wang
AFU,CAL,AFU.CAL,2,3,94,Pop,0.5,1,4,Rising,Explicit,2024-02-16,Connie Wang
crossed the line,Jessica Baio,crossed the line.Jessica Baio,3,4,110,"Electropop, Baddie pop",0.1,3,4,Rising,,2024-02-16,Connie Wang
Feelin' Myself,"will.i.am,Miley Cyrus,French Montana,Wiz Khalifa,Mustard","Feelin' Myself.will.i.am,Miley Cyrus,French Montana,Wiz Khalifa,Mustard",3,3,96,Rap,0.6,3,4,None,Explicit,2024-02-16,Connie Wang
Heartbreak Magic,Riah,Heartbreak Magic.Riah,2,3,87,"Late night, Funk pop",0.3,4,3,Rising,,2024-02-16,Connie Wang
Rockabye,The Mayries,Rockabye.The Mayries,2,2,77,"Singer songwriter, Covers",0.9,1,4,None,,2024-02-16,Connie Wang
omg,Marian Hill,omg.Marian Hill,2,3,93,"Electropop, Baddie pop",0.1,3,4,Rising,Explicit,2024-02-16,Connie Wang
Violet,"Connor Price,Killa","Violet.Connor Price,Killa",3,4,120,Angry Cali Late Nite,0.5,3,3,Rising,,2024-02-16,Connie Wang
Blank Space (Taylor's Version),Taylor Swift,Blank Space (Taylor's Version).Taylor Swift,3,3,96,Pop,0.3,1,5,None,,2024-02-16,Connie Wang
Like This,Jake Scott,Like This.Jake Scott,2,3,96,Singer songwriter,0.4,2,3,Rising,,2024-02-16,Connie Wang
Grace's Amazing Hands,Dave Barnes,Grace's Amazing Hands.Dave Barnes,2,2,75,Oldies,0.9,2,5,None,,2024-02-16,Connie Wang
Yanghwa BRDG,Zion.T,Yanghwa BRDG.Zion.T,1,2,87,"Singer songwriter, Non-english",0.6,2,2,Rising,,2024-02-16,Connie Wang
Spiritual Man,LANKS,Spiritual Man.LANKS,2,3,94,Electropop,0.2,1,2,Rising,,2024-02-16,Connie Wang
You're Sexy I'm Sexy,Eric Nam,You're Sexy I'm Sexy.Eric Nam,3,4,110,Pop,0.5,2,2,Rising,Clean but inappropriate,2024-02-16,Connie Wang
Written in the Sand,Old Dominion,Written in the Sand.Old Dominion,2,2,84,Country,0.7,2,3,None,,2024-02-16,Connie Wang
