Artist,Song,notes,note_source
Ebrahim,Found My Smile Again,Top Picks: Khayree Jones,GSDJ - https://proswingdjs.com/
Alice Morton,No Roots,2017-04-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Jason DeRulo,Take You Dancing,2020-08-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Boyce Avenue,Fast Car,Top Picks: Aidan Keith-Hynes,GSDJ - https://proswingdjs.com/
Camila Cabello,Cry For Me,2019-10-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Glass Animals,Wonderful Nothing (Clean),2024-10-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
"Khalid, Disclosure",Know Your Worth,Top Picks: Cher Peadon,GSDJ - https://proswingdjs.com/
Lucky Peterson,Spankin’ Leroy,GSDJ Top 25 Fast “Blues”,GSDJ - https://proswingdjs.com/
Maroon 5,Best 4 You,2017-11-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Adele,Rolling In The Deep,GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
The Chainsmokers,Push My Luck,2019-12-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Lauv,Sims,2019-10-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
RKCB,Baptize,Top Picks: Isabelle Roy,GSDJ - https://proswingdjs.com/
Beau Monga,Gold Digger,2019-07-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
R. Kelly,Feelin’ Single,2012-06-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Pjay Parisi,Catwalk,Top Picks: Martin Lahmann,GSDJ - https://proswingdjs.com/
Ne-Yo,Miss Right,2013-02-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Charlie Puth & Selena Gomez,We Don’t Talk Anymore,2016-02-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Ronnie Milsap,Snap Your Fingers,Top Picks: Emily Myers,GSDJ - https://proswingdjs.com/
Michael Jackson,Hollywood Tonight,2011-02-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Billy Raffoul,Coffee,2020-03-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Frankie J Ft Pitbull,Beautiful,2013-06-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Rita Ora,Body On Me,2015-09-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Daft Punk,Get Lucky,GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Dylan Chambers,So into you,Top Picks: Martin Lahmann,GSDJ - https://proswingdjs.com/
Tank,Dance With Me,2014-08-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Austin de Lone,Let’s Walk, - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Ce Ce Wynans,I’ll Take You There,Top Picks: Greg Wolf,GSDJ - https://proswingdjs.com/
Owl City Ft Carly Rae Jepsen,Good Time,2012-09-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Strong Asian Mothers,Don’t Let Go,2018-04-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Smith & Myers,Sittin’ On The Dock of the Bay,2014-02-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Merk and Kremont Ft DNCE,Hands Up,2018-06-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
JP Cooper,September Song,Top Picks: Martin Lahmann,GSDJ - https://proswingdjs.com/
Mark Ronson Ft Bruno Mars,Uptown Funk,2014-12-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
George Benson,Baby Work Out,GSDJ Top 25 Fast “Blues”,GSDJ - https://proswingdjs.com/
ToveLo,Cool Girl,2016-10-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Katy Perry,Teenage Dream,2010-10-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
"Pink Sweat$, Kehlani",At My Worst,Top Picks: Kerrin Pollock,GSDJ - https://proswingdjs.com/
Charlotte Cardin,Confetti,2023-07-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Anthony Hamilton,Woo,2012-06-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Phlake,Pregnant,Top Picks: Thomas Friess,GSDJ - https://proswingdjs.com/
Olly Murs Ft Flo Rida,Troublemaker,2012-12-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
"Ed Sheeran, Camila Cabello, Cardi B",South of the Border,Top Picks: Celina Nelson,GSDJ - https://proswingdjs.com/
Marian Hill,Differently,2018-04-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Junior Wells,Sweet 16,GSDJ Top 19 Slow “Blues” ,GSDJ - https://proswingdjs.com/
Kool & The Gang,Sexy (Where’d You Get Your),2016-07-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Daft Punk,Lose Yourself to Dance,GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Mayer Hawthorne,A Long Time,2012-10-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Charlie Puth,In The Dark,2013-12-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Ruben,Candy,Top Picks: Emily Huang,GSDJ - https://proswingdjs.com/
James Parson,Temple (Niko the Kid Remix),2016-03-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
ZZ Ward,Put the Gun Down,2012-12-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Charlie Puth,Empty Cups,GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Ciara,Thinkin’ Bout You,2019-05-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Teddy Swims,Bed on Fire,Top Picks: Kaiano Levine,GSDJ - https://proswingdjs.com/
Teresa James,Can’t Say No,Top Picks: Rob Baen,GSDJ - https://proswingdjs.com/
Emmit Fenn,Lost In Space,Top Picks: JAmes Atwill,GSDJ - https://proswingdjs.com/
Todrick Hall,Boys in the Ocean,2021-09-01GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Mindy Abair,I Can’t Wait For Chrismas,2009-12-01Holiday themed list,GSDJ - https://proswingdjs.com/
Brandon & Leah,Showstopper,2013-10-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Meghan Trainor,Takin’ It Back [Clean],2022-10-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
StevieWonder &Wyclef Jean,Merry Christmas Baby,2009-12-01Holiday themed list,GSDJ - https://proswingdjs.com/
Katy Perry ft. Snoop Dogg,California Gurls,2010-06-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Zac Brown Band,Overnight (Ft Trombone Shorty),2013-04-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
"TOTEM, Aalias",Bubblegum,Top Picks: Chris Vand,GSDJ - https://proswingdjs.com/
Rickie Lee Jones,Danny’s All Star Joint,Top Picks: Celina Nelson,GSDJ - https://proswingdjs.com/
,Trouble Ne-Yo,2012-04-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Benny Blanco & Halsey,Eastside,2018-09-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Anne-Marie,2002,Top Picks: Koichi Tsunoda,GSDJ - https://proswingdjs.com/
New Kids on the Block,Click Click Click,Top Picks: Chris Vand,GSDJ - https://proswingdjs.com/
Lou Rawls,All Around the World,Top Picks: Joni Fraser,GSDJ - https://proswingdjs.com/
"Timeflies Schneider, Kina Grannis",Undress Rehearsal,Top Picks: Chris Vand,GSDJ - https://proswingdjs.com/
Sam Smith,To Die For,Top Picks: John Collini,GSDJ - https://proswingdjs.com/
Kavinsky,Night Call,2012-05-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Leo Stannard,Gravity,Top Picks: Ruby Lair,GSDJ - https://proswingdjs.com/
Anjulie,Rain,2011-03-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Daft Punk,Lose Yourself to Dance,2013-09-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Wyclif Jean,What Happened To Love,2017-08-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Wrabel,11 Blocks,2016-10-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Train,Marry Me,2011-08-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Danny Gatton,Funky Mama,GSDJ Top 25 Fast “Blues”,GSDJ - https://proswingdjs.com/
Brother Yusef,Bakersfield Blues,GSDJ Top 25 Fast “Blues”,GSDJ - https://proswingdjs.com/
Calvin Richardson,Dark Side Of Love,2014-11-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
The Cab,Bad,2013-02-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Daley,Look Up,2013-12-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Howie Day,Collide (Acoustic),Top Picks: Liz Ravdin,GSDJ - https://proswingdjs.com/
"MAX, Ali Gatie",Butterflies,2021-07-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Urban Cone,Old School,2017-03-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Sara Diamond,Glass of Whisky,Top Picks: Emily Huang,GSDJ - https://proswingdjs.com/
Leon Bridges,Bad Bad News,Top Picks: Donna Conley,GSDJ - https://proswingdjs.com/
Nick Fradiani,Love Is Blind,2016-11-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Charlie Puth,Empty Cups,2018-07-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
